,date,amount,transaction_id,rate,flat_fee,product,rate_fee,total_fees
43123,2021-04-06 17:43:44,1386,pr_1622828623817110386,0.03,0.0,pr,41.58,41.58
5495,2021-04-06 18:00:20,504,pr_1622829620151250504,0.03,0.0,pr,15.12,15.12
119572,2021-04-06 18:01:20,230,pr_1622829679623840230,0.03,0.0,pr,6.8999999999999995,6.8999999999999995
100913,2021-04-06 18:08:39,224,pr_1622830119303079224,0.03,0.0,pr,6.72,6.72
6649,2021-04-06 19:02:20,610,pp_1622833339659768610,0.025,2.0,pp,15.25,17.25
99983,2021-04-06 19:06:41,2158,pr_1622833601484933158,0.03,0.0,pr,64.74,64.74
107650,2021-04-06 19:13:20,26,pos_1622834000203956026,0.01,2.0,pos,0.26,2.26
113254,2021-04-06 19:22:07,3078,pr_1622834527468006078,0.03,0.0,pr,92.34,92.34
30787,2021-04-06 20:00:13,209,pos_1622836812940320209,0.01,2.0,pos,2.09,4.09
85853,2021-04-06 20:03:52,3512,pr_1622837032122734512,0.03,0.0,pr,105.36,105.36
81098,2021-04-06 20:36:42,42,pos_1622839001670615042,0.01,2.0,pos,0.42,2.42
95079,2021-04-06 21:18:08,68,pos_1622841488284266068,0.01,2.0,pos,0.68,2.68
109274,2021-04-06 22:32:59,5,pos_1622845979419270005,0.01,2.0,pos,0.05,2.05
26836,2021-04-06 22:47:37,133,pos_1622846856522889133,0.01,2.0,pos,1.33,3.33
40043,2021-04-07 00:41:56,1368,pr_1625359316145274368,0.03,0.0,pr,41.04,41.04
66832,2021-04-07 01:34:30,1418,pr_1625362470050107418,0.03,0.0,pr,42.54,42.54
59256,2021-04-07 02:19:39,2301,pr_1625365179385554301,0.03,0.0,pr,69.03,69.03
123174,2021-04-07 03:19:54,263,pos_1625368793964774263,0.01,2.0,pos,2.63,4.63
126528,2021-04-07 03:52:51,1340,pr_1625370770884064340,0.03,0.0,pr,40.199999999999996,40.199999999999996
91484,2021-04-07 04:56:04,178,pr_1625374564488163178,0.03,0.0,pr,5.34,5.34
77522,2021-04-07 04:58:59,1425,pr_1625374738883958425,0.03,0.0,pr,42.75,42.75
58595,2021-04-07 06:11:26,1228,pp_1625379085764639228,0.025,2.0,pp,30.700000000000003,32.7
15749,2021-04-07 06:31:55,317,pos_1625380314798698317,0.01,2.0,pos,3.17,5.17
7643,2021-04-07 06:45:10,1026,pr_1625381109661415026,0.03,0.0,pr,30.779999999999998,30.779999999999998
5150,2021-04-07 06:48:01,805,pr_1625381280767114805,0.03,0.0,pr,24.15,24.15
104962,2021-04-07 06:53:19,907,pp_1625381598907080907,0.025,2.0,pp,22.675,24.675
24386,2021-04-07 07:19:37,692,pr_1625383177215490692,0.03,0.0,pr,20.759999999999998,20.759999999999998
59662,2021-04-07 07:21:38,307,pr_1625383298349846307,0.03,0.0,pr,9.209999999999999,9.209999999999999
22044,2021-04-07 07:31:14,1108,pr_1625383873578611108,0.03,0.0,pr,33.24,33.24
48993,2021-04-07 08:08:56,45,pos_1625386135508330045,0.01,2.0,pos,0.45,2.45
132977,2021-04-07 08:20:09,369,pr_1625386809044757369,0.03,0.0,pr,11.07,11.07
53974,2021-04-07 08:43:00,192,pos_1625388180231456192,0.01,2.0,pos,1.92,3.92
4160,2021-04-07 09:04:30,200,pr_1625389469779381200,0.03,0.0,pr,6.0,6.0
73716,2021-04-07 09:07:21,17,pos_1625389641318059017,0.01,2.0,pos,0.17,2.17
96730,2021-04-07 09:20:29,350,pr_1625390428644257350,0.03,0.0,pr,10.5,10.5
120485,2021-04-07 09:43:44,77,pos_1625391823709944077,0.01,2.0,pos,0.77,2.77
53041,2021-04-07 10:07:49,82,pos_1625393269101610082,0.01,2.0,pos,0.8200000000000001,2.8200000000000003
116603,2021-04-07 10:10:31,1521,pp_1625393430900003521,0.025,2.0,pp,38.025,40.025
134127,2021-04-07 10:20:35,594,pr_1625394034983466594,0.03,0.0,pr,17.82,17.82
3066,2021-04-07 10:37:38,287,pr_1625395057650681287,0.03,0.0,pr,8.61,8.61
21075,2021-04-07 10:41:25,2304,pp_1625395285246419304,0.025,2.0,pp,57.6,59.6
78837,2021-04-07 10:56:57,1130,pr_1625396216835746130,0.03,0.0,pr,33.9,33.9
104216,2021-04-07 11:11:10,205,pr_1625397069733637205,0.03,0.0,pr,6.1499999999999995,6.1499999999999995
31276,2021-04-07 11:25:09,324,pr_1625397908590255324,0.03,0.0,pr,9.719999999999999,9.719999999999999
4203,2021-04-07 11:58:37,240,pp_1625399917410448240,0.025,2.0,pp,6.0,8.0
110398,2021-04-07 12:01:29,322,pr_1625400089273420322,0.03,0.0,pr,9.66,9.66
48597,2021-04-07 12:03:32,103,pp_1625400211924683103,0.025,2.0,pp,2.575,4.575
139722,2021-04-07 12:14:52,14,pos_1625400892456485014,0.01,2.0,pos,0.14,2.14
64164,2021-04-07 12:15:48,2178,pp_1625400948329131178,0.025,2.0,pp,54.45,56.45
107022,2021-04-07 12:38:57,67,pos_1625402336923592067,0.01,2.0,pos,0.67,2.67
135381,2021-04-07 12:51:03,597,pr_1625403063051891597,0.03,0.0,pr,17.91,17.91
51952,2021-04-07 12:53:06,74,pr_1625403186331318074,0.03,0.0,pr,2.2199999999999998,2.2199999999999998
82407,2021-04-07 12:58:43,180,pos_1625403523485638180,0.01,2.0,pos,1.8,3.8
10938,2021-04-07 13:01:14,1032,pr_1625403673828406032,0.03,0.0,pr,30.959999999999997,30.959999999999997
99028,2021-04-07 13:18:36,2639,pp_1625404715549748639,0.025,2.0,pp,65.97500000000001,67.97500000000001
75970,2021-04-07 13:27:53,1124,pp_1625405273363771124,0.025,2.0,pp,28.1,30.1
57705,2021-04-07 13:30:50,139,pos_1625405449593712139,0.01,2.0,pos,1.3900000000000001,3.39
46785,2021-04-07 13:32:30,1407,pr_1625405550439104407,0.03,0.0,pr,42.21,42.21
85409,2021-04-07 13:56:46,1602,pr_1625407006192989602,0.03,0.0,pr,48.059999999999995,48.059999999999995
55240,2021-04-07 13:57:17,216,pos_1625407037222633216,0.01,2.0,pos,2.16,4.16
92334,2021-04-07 13:59:37,69,pr_1625407177396686069,0.03,0.0,pr,2.07,2.07
76407,2021-04-07 14:03:45,88,pos_1625407424549365088,0.01,2.0,pos,0.88,2.88
127456,2021-04-07 14:31:06,424,pr_1625409065575753424,0.03,0.0,pr,12.719999999999999,12.719999999999999
117287,2021-04-07 14:56:02,43,pos_1625410562148070043,0.01,2.0,pos,0.43,2.43
18424,2021-04-07 14:56:51,213,pr_1625410611428637213,0.03,0.0,pr,6.39,6.39
37654,2021-04-07 15:11:27,3069,pr_1625411486753147069,0.03,0.0,pr,92.07,92.07
29359,2021-04-07 15:12:58,35,pr_1625411578414760035,0.03,0.0,pr,1.05,1.05
35423,2021-04-07 15:26:18,195,pr_1625412378484071195,0.03,0.0,pr,5.85,5.85
471,2021-04-07 15:28:16,44,pos_1625412495605520044,0.01,2.0,pos,0.44,2.44
45378,2021-04-07 15:38:53,846,pr_1625413133479693846,0.03,0.0,pr,25.38,25.38
66934,2021-04-07 16:01:48,186,pos_1625414508209177186,0.01,2.0,pos,1.86,3.8600000000000003
17077,2021-04-07 16:14:09,23,pos_1625415248550616023,0.01,2.0,pos,0.23,2.23
9674,2021-04-07 16:19:24,3921,pr_1625415563501413921,0.03,0.0,pr,117.63,117.63
28998,2021-04-07 16:22:23,151,pos_1625415742841765151,0.01,2.0,pos,1.51,3.51
65780,2021-04-07 17:01:48,1520,pr_1625418107702284520,0.03,0.0,pr,45.6,45.6
44828,2021-04-07 17:08:45,1830,pp_1625418524544452830,0.025,2.0,pp,45.75,47.75
54170,2021-04-07 17:48:45,27,pr_1625420925051595027,0.03,0.0,pr,0.8099999999999999,0.8099999999999999
76229,2021-04-07 18:10:04,2072,pp_1625422204409618072,0.025,2.0,pp,51.800000000000004,53.800000000000004
56710,2021-04-07 18:17:27,2210,pr_1625422646944961210,0.03,0.0,pr,66.3,66.3
100592,2021-04-07 18:48:59,1136,pp_1625424539248308136,0.025,2.0,pp,28.400000000000002,30.400000000000002
47437,2021-04-07 18:57:33,270,pr_1625425052997545270,0.03,0.0,pr,8.1,8.1
126339,2021-04-07 19:15:45,890,pr_1625426144548524890,0.03,0.0,pr,26.7,26.7
52512,2021-04-07 19:37:54,95,pos_1625427474128889095,0.01,2.0,pos,0.9500000000000001,2.95
27253,2021-04-07 20:35:11,127,pos_1625430911122151127,0.01,2.0,pos,1.27,3.27
104664,2021-04-07 21:12:20,1330,pr_1625433139501002330,0.03,0.0,pr,39.9,39.9
96203,2021-04-07 21:58:03,23,pp_1625435882701515023,0.025,2.0,pp,0.5750000000000001,2.575
37456,2021-04-08 00:21:51,1480,pp_1628036511449291480,0.025,2.0,pp,37.0,39.0
1962,2021-04-08 00:30:03,1276,pp_1628037002580617276,0.025,2.0,pp,31.900000000000002,33.900000000000006
87326,2021-04-08 00:36:12,1655,pr_1628037371770330655,0.03,0.0,pr,49.65,49.65
90064,2021-04-08 01:03:37,416,pr_1628039016941084416,0.03,0.0,pr,12.48,12.48
134524,2021-04-08 01:21:41,633,pr_1628040101055983633,0.03,0.0,pr,18.99,18.99
2623,2021-04-08 03:40:12,255,pp_1628048412472208255,0.025,2.0,pp,6.375,8.375
72765,2021-04-08 04:36:25,1204,pr_1628051784865310204,0.03,0.0,pr,36.12,36.12
103046,2021-04-08 05:20:18,193,pos_1628054418281486193,0.01,2.0,pos,1.93,3.9299999999999997
1027,2021-04-08 05:21:29,1041,pp_1628054488818606041,0.025,2.0,pp,26.025000000000002,28.025000000000002
21326,2021-04-08 06:01:39,609,pr_1628056898574700609,0.03,0.0,pr,18.27,18.27
48376,2021-04-08 06:01:40,958,pr_1628056900443629958,0.03,0.0,pr,28.74,28.74
11385,2021-04-08 06:03:30,619,pp_1628057010178233619,0.025,2.0,pp,15.475000000000001,17.475
57267,2021-04-08 06:10:47,40,pos_1628057446707608040,0.01,2.0,pos,0.4,2.4
59501,2021-04-08 06:32:06,13,pos_1628058726326322013,0.01,2.0,pos,0.13,2.13
82112,2021-04-08 07:03:14,542,pp_1628060593653456542,0.025,2.0,pp,13.55,15.55
40700,2021-04-08 07:21:23,65,pos_1628061682880588065,0.01,2.0,pos,0.65,2.65
81842,2021-04-08 07:22:57,152,pos_1628061777022592152,0.01,2.0,pos,1.52,3.52
42270,2021-04-08 07:25:43,883,pp_1628061943330782883,0.025,2.0,pp,22.075000000000003,24.075000000000003
27399,2021-04-08 07:30:44,82,pos_1628062244361037082,0.01,2.0,pos,0.8200000000000001,2.8200000000000003
120041,2021-04-08 07:46:37,2377,pp_1628063197348307377,0.025,2.0,pp,59.425000000000004,61.425000000000004
114175,2021-04-08 08:00:35,608,pp_1628064034585152608,0.025,2.0,pp,15.200000000000001,17.200000000000003
95359,2021-04-08 08:34:31,463,pr_1628066070509531463,0.03,0.0,pr,13.889999999999999,13.889999999999999
56647,2021-04-08 09:17:51,141,pr_1628068671116705141,0.03,0.0,pr,4.2299999999999995,4.2299999999999995
77261,2021-04-08 09:18:55,61,pp_1628068734869616061,0.025,2.0,pp,1.5250000000000001,3.5250000000000004
100211,2021-04-08 09:53:17,1416,pr_1628070796598689416,0.03,0.0,pr,42.48,42.48
98599,2021-04-08 10:10:34,1594,pr_1628071834027369594,0.03,0.0,pr,47.82,47.82
81977,2021-04-08 10:37:25,1254,pr_1628073445258426254,0.03,0.0,pr,37.62,37.62
102872,2021-04-08 10:51:34,617,pr_1628074293802851617,0.03,0.0,pr,18.509999999999998,18.509999999999998
117681,2021-04-08 10:56:57,714,pp_1628074617010851714,0.025,2.0,pp,17.85,19.85
96442,2021-04-08 11:07:44,293,pr_1628075264412366293,0.03,0.0,pr,8.79,8.79
125639,2021-04-08 11:19:24,1247,pr_1628075964323032247,0.03,0.0,pr,37.41,37.41
69999,2021-04-08 11:22:29,1476,pr_1628076149175851476,0.03,0.0,pr,44.28,44.28
8026,2021-04-08 11:30:08,186,pp_1628076608324327186,0.025,2.0,pp,4.65,6.65
126608,2021-04-08 11:32:08,1331,pp_1628076728092940331,0.025,2.0,pp,33.275,35.275
119887,2021-04-08 11:46:19,1100,pr_1628077578548894100,0.03,0.0,pr,33.0,33.0
86526,2021-04-08 11:52:53,937,pr_1628077973355793937,0.03,0.0,pr,28.11,28.11
115379,2021-04-08 11:54:32,508,pr_1628078072495981508,0.03,0.0,pr,15.24,15.24
45631,2021-04-08 12:00:48,974,pr_1628078448079660974,0.03,0.0,pr,29.22,29.22
48200,2021-04-08 12:05:26,396,pp_1628078725548087396,0.025,2.0,pp,9.9,11.9
31907,2021-04-08 12:21:06,481,pr_1628079665902593481,0.03,0.0,pr,14.43,14.43
24664,2021-04-08 12:31:44,1795,pp_1628080304077226795,0.025,2.0,pp,44.875,46.875
26464,2021-04-08 12:32:19,197,pp_1628080339162212197,0.025,2.0,pp,4.925000000000001,6.925000000000001
21379,2021-04-08 12:39:22,5,pos_1628080762039077005,0.01,2.0,pos,0.05,2.05
94490,2021-04-08 12:55:39,879,pr_1628081738639836879,0.03,0.0,pr,26.369999999999997,26.369999999999997
110708,2021-04-08 13:09:49,557,pr_1628082589424491557,0.03,0.0,pr,16.71,16.71
4615,2021-04-08 13:22:44,55,pr_1628083363945410055,0.03,0.0,pr,1.65,1.65
467,2021-04-08 13:23:09,95,pos_1628083389179465095,0.01,2.0,pos,0.9500000000000001,2.95
16539,2021-04-08 13:30:32,183,pos_1628083831695020183,0.01,2.0,pos,1.83,3.83
15298,2021-04-08 13:34:57,240,pp_1628084096545906240,0.025,2.0,pp,6.0,8.0
136216,2021-04-08 13:35:41,11,pos_1628084140809660011,0.01,2.0,pos,0.11,2.11
24688,2021-04-08 13:36:02,18,pr_1628084161633985018,0.03,0.0,pr,0.54,0.54
61109,2021-04-08 13:43:50,70,pos_1628084629612564070,0.01,2.0,pos,0.7000000000000001,2.7
84084,2021-04-08 14:07:02,1747,pr_1628086021570274747,0.03,0.0,pr,52.41,52.41
139449,2021-04-08 14:08:16,1003,pp_1628086095834736003,0.025,2.0,pp,25.075000000000003,27.075000000000003
52765,2021-04-08 14:17:31,94,pos_1628086651091395094,0.01,2.0,pos,0.9400000000000001,2.94
91363,2021-04-08 14:23:44,826,pr_1628087024266974826,0.03,0.0,pr,24.779999999999998,24.779999999999998
33004,2021-04-08 14:32:47,17,pr_1628087567348125017,0.03,0.0,pr,0.51,0.51
93390,2021-04-08 14:36:22,34,pos_1628087781753430034,0.01,2.0,pos,0.34,2.34
96035,2021-04-08 14:38:31,635,pr_1628087911110770635,0.03,0.0,pr,19.05,19.05
131065,2021-04-08 14:47:13,2296,pr_1628088433076956296,0.03,0.0,pr,68.88,68.88
119009,2021-04-08 14:48:39,28,pos_1628088518819773028,0.01,2.0,pos,0.28,2.2800000000000002
29383,2021-04-08 14:53:28,1391,pp_1628088807800605391,0.025,2.0,pp,34.775,36.775
29597,2021-04-08 15:01:46,932,pr_1628089305811779932,0.03,0.0,pr,27.959999999999997,27.959999999999997
92104,2021-04-08 15:03:13,2202,pr_1628089392844592202,0.03,0.0,pr,66.06,66.06
114454,2021-04-08 15:19:25,67,pp_1628090365051832067,0.025,2.0,pp,1.675,3.675
780,2021-04-08 15:21:48,31,pos_1628090507842919031,0.01,2.0,pos,0.31,2.31
121012,2021-04-08 15:33:50,185,pos_1628091229907006185,0.01,2.0,pos,1.85,3.85
18023,2021-04-08 15:37:41,31,pos_1628091460708680031,0.01,2.0,pos,0.31,2.31
97947,2021-04-08 15:41:07,1070,pr_1628091666968084070,0.03,0.0,pr,32.1,32.1
45340,2021-04-08 15:59:18,92,pr_1628092757689361092,0.03,0.0,pr,2.76,2.76
47447,2021-04-08 16:00:04,156,pos_1628092804098633156,0.01,2.0,pos,1.56,3.56
54763,2021-04-08 16:29:43,2535,pr_1628094583463729535,0.03,0.0,pr,76.05,76.05
111332,2021-04-08 16:44:35,934,pp_1628095475000021934,0.025,2.0,pp,23.35,25.35
54596,2021-04-08 16:45:41,122,pos_1628095540860602122,0.01,2.0,pos,1.22,3.2199999999999998
136810,2021-04-08 17:18:07,1230,pr_1628097486914806230,0.03,0.0,pr,36.9,36.9
20222,2021-04-08 17:23:54,801,pr_1628097834182811801,0.03,0.0,pr,24.029999999999998,24.029999999999998
20184,2021-04-08 17:27:20,415,pp_1628098039695563415,0.025,2.0,pp,10.375,12.375
95462,2021-04-08 18:10:45,146,pos_1628100645430654146,0.01,2.0,pos,1.46,3.46
127352,2021-04-08 18:19:27,1389,pp_1628101166628754389,0.025,2.0,pp,34.725,36.725
68535,2021-04-08 18:26:56,929,pr_1628101615723947929,0.03,0.0,pr,27.869999999999997,27.869999999999997
93720,2021-04-08 18:31:53,1729,pr_1628101912661371729,0.03,0.0,pr,51.87,51.87
94849,2021-04-08 18:38:34,397,pp_1628102313621936397,0.025,2.0,pp,9.925,11.925
61629,2021-04-08 18:45:14,1215,pr_1628102714378281215,0.03,0.0,pr,36.449999999999996,36.449999999999996
136771,2021-04-08 19:57:01,884,pr_1628107021403933884,0.03,0.0,pr,26.52,26.52
59273,2021-04-08 20:20:06,1666,pr_1628108405989902666,0.03,0.0,pr,49.98,49.98
61057,2021-04-08 20:59:53,151,pos_1628110792587989151,0.01,2.0,pos,1.51,3.51
35102,2021-04-08 21:09:38,1710,pp_1628111377623930710,0.025,2.0,pp,42.75,44.75
107250,2021-04-08 21:57:57,32,pos_1628114276503717032,0.01,2.0,pos,0.32,2.32
70615,2021-04-09 00:15:41,110,pos_1630714541336245110,0.01,2.0,pos,1.1,3.1
73983,2021-04-09 00:38:51,146,pos_1630715930545131146,0.01,2.0,pos,1.46,3.46
115346,2021-04-09 01:40:15,1491,pr_1630719615226318491,0.03,0.0,pr,44.73,44.73
126672,2021-04-09 01:55:19,215,pos_1630720519258217215,0.01,2.0,pos,2.15,4.15
108881,2021-04-09 02:14:49,994,pr_1630721689335016994,0.03,0.0,pr,29.82,29.82
75438,2021-04-09 02:21:40,19,pos_1630722100088163019,0.01,2.0,pos,0.19,2.19
126992,2021-04-09 02:42:24,736,pr_1630723343618504736,0.03,0.0,pr,22.08,22.08
80620,2021-04-09 02:52:50,536,pr_1630723970345799536,0.03,0.0,pr,16.08,16.08
24882,2021-04-09 03:28:01,1004,pr_1630726080668477004,0.03,0.0,pr,30.119999999999997,30.119999999999997
6641,2021-04-09 04:07:24,2339,pr_1630728443677816339,0.03,0.0,pr,70.17,70.17
130505,2021-04-09 04:15:06,210,pr_1630728905892233210,0.03,0.0,pr,6.3,6.3
138749,2021-04-09 04:21:28,466,pos_1630729287642298466,0.01,2.0,pos,4.66,6.66
38327,2021-04-09 04:28:43,1109,pr_1630729723331335109,0.03,0.0,pr,33.269999999999996,33.269999999999996
9902,2021-04-09 04:36:54,24,pos_1630730213691027024,0.01,2.0,pos,0.24,2.24
20494,2021-04-09 05:38:54,118,pos_1630733933925605118,0.01,2.0,pos,1.18,3.1799999999999997
50416,2021-04-09 05:48:21,2172,pr_1630734501055901172,0.03,0.0,pr,65.16,65.16
125831,2021-04-09 05:50:14,148,pos_1630734614042117148,0.01,2.0,pos,1.48,3.48
22012,2021-04-09 06:01:59,101,pos_1630735319185445101,0.01,2.0,pos,1.01,3.01
72769,2021-04-09 06:05:50,33,pr_1630735549880043033,0.03,0.0,pr,0.99,0.99
95681,2021-04-09 06:05:54,13,pos_1630735554463264013,0.01,2.0,pos,0.13,2.13
129121,2021-04-09 06:07:41,2374,pp_1630735661304743374,0.025,2.0,pp,59.35,61.35
96875,2021-04-09 06:33:21,1785,pr_1630737200981937785,0.03,0.0,pr,53.55,53.55
73433,2021-04-09 06:41:38,733,pr_1630737698238236733,0.03,0.0,pr,21.99,21.99
129703,2021-04-09 06:59:40,285,pos_1630738779883674285,0.01,2.0,pos,2.85,4.85
74840,2021-04-09 07:02:30,404,pr_1630738950479265404,0.03,0.0,pr,12.12,12.12
70169,2021-04-09 07:18:57,579,pr_1630739936591723579,0.03,0.0,pr,17.37,17.37
75100,2021-04-09 07:26:08,664,pr_1630740367990747664,0.03,0.0,pr,19.919999999999998,19.919999999999998
66721,2021-04-09 07:26:34,2012,pr_1630740393690719012,0.03,0.0,pr,60.36,60.36
14266,2021-04-09 07:35:47,858,pr_1630740946631180858,0.03,0.0,pr,25.74,25.74
57893,2021-04-09 07:59:44,3314,pr_1630742384397664314,0.03,0.0,pr,99.42,99.42
127049,2021-04-09 08:03:03,21,pos_1630742583123549021,0.01,2.0,pos,0.21,2.21
74602,2021-04-09 08:30:22,84,pr_1630744221834365084,0.03,0.0,pr,2.52,2.52
95245,2021-04-09 08:36:46,944,pr_1630744605788255944,0.03,0.0,pr,28.32,28.32
6724,2021-04-09 08:39:04,1557,pp_1630744743818275557,0.025,2.0,pp,38.925000000000004,40.925000000000004
27774,2021-04-09 09:04:48,2877,pr_1630746287635947877,0.03,0.0,pr,86.31,86.31
45809,2021-04-09 09:25:10,111,pr_1630747509807478111,0.03,0.0,pr,3.33,3.33
91214,2021-04-09 09:26:28,66,pos_1630747587916825066,0.01,2.0,pos,0.66,2.66
9485,2021-04-09 09:35:56,123,pos_1630748155709300123,0.01,2.0,pos,1.23,3.23
129662,2021-04-09 09:53:05,494,pr_1630749184597296494,0.03,0.0,pr,14.82,14.82
4127,2021-04-09 10:13:19,243,pos_1630750398664134243,0.01,2.0,pos,2.43,4.43
16472,2021-04-09 10:20:50,2137,pr_1630750850371252137,0.03,0.0,pr,64.11,64.11
128242,2021-04-09 10:21:10,306,pr_1630750869832444306,0.03,0.0,pr,9.18,9.18
109991,2021-04-09 10:41:14,1578,pp_1630752073809270578,0.025,2.0,pp,39.45,41.45
14793,2021-04-09 10:43:06,24,pos_1630752185794976024,0.01,2.0,pos,0.24,2.24
135459,2021-04-09 10:53:44,1763,pp_1630752823841304763,0.025,2.0,pp,44.075,46.075
88146,2021-04-09 10:59:06,158,pos_1630753145741667158,0.01,2.0,pos,1.58,3.58
24769,2021-04-09 11:01:27,175,pr_1630753286643080175,0.03,0.0,pr,5.25,5.25
71668,2021-04-09 11:19:54,378,pr_1630754394071998378,0.03,0.0,pr,11.34,11.34
122439,2021-04-09 11:20:50,140,pos_1630754449993952140,0.01,2.0,pos,1.4000000000000001,3.4000000000000004
75397,2021-04-09 11:44:18,79,pos_1630755857823278079,0.01,2.0,pos,0.79,2.79
83401,2021-04-09 11:52:22,203,pos_1630756342135464203,0.01,2.0,pos,2.0300000000000002,4.03
94478,2021-04-09 11:55:23,129,pr_1630756523172827129,0.03,0.0,pr,3.8699999999999997,3.8699999999999997
18214,2021-04-09 12:06:31,1750,pr_1630757190818246750,0.03,0.0,pr,52.5,52.5
86131,2021-04-09 12:10:08,112,pos_1630757408306925112,0.01,2.0,pos,1.12,3.12
82691,2021-04-09 12:28:34,2050,pr_1630758513510069050,0.03,0.0,pr,61.5,61.5
138318,2021-04-09 12:30:45,1357,pr_1630758644598048357,0.03,0.0,pr,40.71,40.71
129564,2021-04-09 12:33:07,629,pr_1630758786538470629,0.03,0.0,pr,18.87,18.87
105419,2021-04-09 12:46:56,97,pos_1630759616093638097,0.01,2.0,pos,0.97,2.9699999999999998
30954,2021-04-09 13:03:01,158,pr_1630760581260967158,0.03,0.0,pr,4.74,4.74
116936,2021-04-09 13:04:15,148,pos_1630760654537500148,0.01,2.0,pos,1.48,3.48
8635,2021-04-09 13:12:26,1707,pr_1630761145588989707,0.03,0.0,pr,51.21,51.21
7900,2021-04-09 13:13:16,201,pos_1630761195655150201,0.01,2.0,pos,2.0100000000000002,4.01
92294,2021-04-09 13:26:31,143,pr_1630761990935769143,0.03,0.0,pr,4.29,4.29
1370,2021-04-09 13:29:21,42,pos_1630762160945034042,0.01,2.0,pos,0.42,2.42
58429,2021-04-09 13:35:47,247,pos_1630762547319204247,0.01,2.0,pos,2.47,4.470000000000001
122341,2021-04-09 13:52:51,2811,pp_1630763571451745811,0.025,2.0,pp,70.275,72.275
111704,2021-04-09 14:06:20,2164,pp_1630764379670955164,0.025,2.0,pp,54.1,56.1
138371,2021-04-09 14:08:35,183,pos_1630764514885316183,0.01,2.0,pos,1.83,3.83
4497,2021-04-09 14:24:23,1054,pr_1630765463369865054,0.03,0.0,pr,31.619999999999997,31.619999999999997
52283,2021-04-09 14:25:30,140,pos_1630765529925862140,0.01,2.0,pos,1.4000000000000001,3.4000000000000004
109835,2021-04-09 14:39:29,1784,pp_1630766369094893784,0.025,2.0,pp,44.6,46.6
69394,2021-04-09 14:42:14,80,pr_1630766534400542080,0.03,0.0,pr,2.4,2.4
84456,2021-04-09 14:59:45,1585,pr_1630767585029043585,0.03,0.0,pr,47.55,47.55
105648,2021-04-09 15:31:49,1200,pr_1630769509053342200,0.03,0.0,pr,36.0,36.0
6379,2021-04-09 15:40:05,219,pos_1630770005223650219,0.01,2.0,pos,2.19,4.1899999999999995
1184,2021-04-09 15:55:09,68,pos_1630770909237121068,0.01,2.0,pos,0.68,2.68
61752,2021-04-09 15:56:33,41,pos_1630770993128906041,0.01,2.0,pos,0.41000000000000003,2.41
111746,2021-04-09 16:32:25,101,pos_1630773144697968101,0.01,2.0,pos,1.01,3.01
30347,2021-04-09 16:40:53,2257,pr_1630773652569633257,0.03,0.0,pr,67.71,67.71
98401,2021-04-09 16:59:11,1413,pr_1630774751138204413,0.03,0.0,pr,42.39,42.39
43622,2021-04-09 17:03:04,2789,pp_1630774983686262789,0.025,2.0,pp,69.72500000000001,71.72500000000001
79334,2021-04-09 17:31:14,1534,pr_1630776674264678534,0.03,0.0,pr,46.019999999999996,46.019999999999996
84349,2021-04-09 17:39:23,993,pp_1630777162583151993,0.025,2.0,pp,24.825000000000003,26.825000000000003
102402,2021-04-09 17:46:33,482,pr_1630777592569807482,0.03,0.0,pr,14.459999999999999,14.459999999999999
37115,2021-04-09 17:57:09,1051,pr_1630778228868588051,0.03,0.0,pr,31.529999999999998,31.529999999999998
98374,2021-04-09 18:09:17,92,pos_1630778956623162092,0.01,2.0,pos,0.92,2.92
125285,2021-04-09 18:21:09,1905,pr_1630779668739816905,0.03,0.0,pr,57.15,57.15
118921,2021-04-09 18:53:26,1281,pp_1630781606463153281,0.025,2.0,pp,32.025,34.025
77429,2021-04-09 19:27:55,2622,pp_1630783674582312622,0.025,2.0,pp,65.55,67.55
64387,2021-04-10 00:01:46,51,pos_1633305705725462051,0.01,2.0,pos,0.51,2.51
60718,2021-04-10 00:49:31,734,pr_1633308571395102734,0.03,0.0,pr,22.02,22.02
66697,2021-04-10 01:26:33,1271,pp_1633310793126301271,0.025,2.0,pp,31.775000000000002,33.775000000000006
106494,2021-04-10 02:17:17,170,pos_1633313836787560170,0.01,2.0,pos,1.7,3.7
47707,2021-04-10 02:44:42,181,pr_1633315482478782181,0.03,0.0,pr,5.43,5.43
89780,2021-04-10 03:11:32,2055,pr_1633317092419077055,0.03,0.0,pr,61.65,61.65
129287,2021-04-10 03:23:17,1177,pp_1633317796732619177,0.025,2.0,pp,29.425,31.425
141956,2021-04-10 03:51:34,666,pr_1633319494087440666,0.03,0.0,pr,19.98,19.98
23882,2021-04-10 04:07:44,891,pr_1633320464050080891,0.03,0.0,pr,26.73,26.73
90267,2021-04-10 04:13:05,625,pr_1633320784591050625,0.03,0.0,pr,18.75,18.75
10285,2021-04-10 04:19:38,1433,pr_1633321177689958433,0.03,0.0,pr,42.989999999999995,42.989999999999995
40417,2021-04-10 05:02:42,359,pr_1633323761510213359,0.03,0.0,pr,10.77,10.77
39245,2021-04-10 05:14:38,59,pos_1633324477634987059,0.01,2.0,pos,0.59,2.59
19273,2021-04-10 05:16:35,855,pr_1633324594864031855,0.03,0.0,pr,25.65,25.65
37252,2021-04-10 05:34:59,740,pp_1633325698694328740,0.025,2.0,pp,18.5,20.5
